,,,,
,The Baseball Team,,,
,John S,,,
C,Yasmani Grandal,,,
1B,Brandon Lowe,,,
2B,Javier Baez,,,
3B,Eduardo Escobar,,,
SS,Brandon Crawford,,,
INF,Alex Bregman,,,
LF,Christian Yelich,,,
CF,Jarred Kelenic,,,
RF,Nick Castellanos,,,
OF,Myles Straw,,,
UT,Buster Posey,,,
UT,Shohei Ohtani,,,
,,,,
SP,Shohei Ohtani,,,
SP,Aaron Civale,,,
RP,Scott Barlow,,,
RP,Lou Trivino,,,
P,Alex Vesia,,,
P,Matt Barnes,,,
P,Chris Bassitt,,,
P,Chris Flexen,,,
,,,,
BN,Jeimer Candelario,,,
BN,Alex Verdugo,,,
BN,Wil Myers,,,
BN,Nick Madrigal,,,
BN,Dylan Cease,,,
BN,Yu Darvish,,,
BN,Kyle Hendricks,,,
BN,,,,
,,,,
IL,Kyle Lewis,,,
IL,Edward Cabrera,,,
IL,Spencer Turnbull,,,
IL,Ryan Thompson,,,
IL,Jordan Hicks,,,
,,,,
NA,Adley Rutschman,,,
NA,Nolan Gorman,,,
NA,Drew Waters,,,
NA,Tyler Freeman,,,
NA,Mick Abel,,,
